# This file includes the efficiency of the whole farm by wind direction.
# Wind direction angle	Farm efficiency
121.000000	70.559515
122.000000	71.597808
123.000000	77.197232
124.000000	83.422671
125.000000	86.786235
126.000000	87.346585
127.000000	85.297161
128.000000	83.799094
129.000000	86.492512
130.000000	87.607570
131.000000	87.287529
132.000000	85.906243
133.000000	82.545837
134.000000	77.312915
135.000000	70.925253
136.000000	63.989709
137.000000	58.090870
138.000000	55.517835
139.000000	58.052777
140.000000	63.933673
141.000000	70.802573
142.000000	77.040421
143.000000	82.198037
144.000000	85.437582
145.000000	86.562041
146.000000	86.761948
147.000000	85.609948
148.000000	82.728115
149.000000	84.185759
150.000000	86.132240
151.000000	85.633581
152.000000	82.280477
153.000000	76.264472
154.000000	70.163383
155.000000	68.837120
156.000000	73.599886
157.000000	80.036299
158.000000	84.436436
159.000000	86.056554
160.000000	85.671239
161.000000	81.828064
162.000000	77.834005
163.000000	79.611031
164.000000	84.240099
165.000000	85.476677
166.000000	83.980510
167.000000	84.636268
168.000000	85.978621
169.000000	85.668396
170.000000	85.438208
171.000000	83.860850
172.000000	81.101607
173.000000	76.955597
174.000000	71.549804
175.000000	65.085164
176.000000	58.252018
177.000000	51.896835
178.000000	45.975163
179.000000	41.058951
180.000000	39.126358
181.000000	41.045681
182.000000	45.958004
183.000000	51.878176
184.000000	58.232514
185.000000	65.099746
186.000000	71.639999
187.000000	77.117983
188.000000	81.352675
189.000000	84.398038
190.000000	85.884386
191.000000	86.282014
192.000000	86.300336
193.000000	86.384141
194.000000	83.782583
195.000000	84.074200
196.000000	86.254130
197.000000	84.771191
198.000000	79.849805
199.000000	76.929486
200.000000	80.054679
201.000000	85.035901
202.000000	86.763967
203.000000	87.075152
204.000000	85.309364
205.000000	81.198529
206.000000	74.695871
207.000000	68.828046
208.000000	67.492431
209.000000	71.749658
210.000000	78.437174
211.000000	83.943581
212.000000	86.918002
213.000000	87.644186
214.000000	86.232480
215.000000	82.459062
216.000000	82.339342
217.000000	86.060304
218.000000	88.168597
219.000000	87.689880
220.000000	88.079250
221.000000	87.305344
222.000000	84.763794
223.000000	80.345966
224.000000	74.485870
225.000000	67.873238
226.000000	61.370074
227.000000	56.044763
228.000000	53.640383
229.000000	55.530861
230.000000	60.609291
231.000000	66.962173
232.000000	73.747833
233.000000	80.015152
234.000000	84.657293
235.000000	87.559703
236.000000	88.725156
237.000000	88.908103
238.000000	89.131863
239.000000	87.409366
240.000000	83.769124
241.000000	83.286672
242.000000	86.856513
243.000000	88.791198
244.000000	88.339928
245.000000	85.693332
246.000000	80.208088
247.000000	73.677911
248.000000	69.491385
249.000000	70.061164
250.000000	75.024729
251.000000	81.664563
252.000000	86.639049
253.000000	88.780464
254.000000	88.782197
255.000000	87.450463
256.000000	82.581421
257.000000	79.451493
258.000000	81.439768
259.000000	86.242780
260.000000	88.554152
261.000000	86.912033
262.000000	86.601006
263.000000	88.698660
264.000000	88.853505
265.000000	88.848889
266.000000	88.424791
267.000000	86.944019
268.000000	84.192922
269.000000	79.717823
270.000000	73.382685
271.000000	66.543082
272.000000	59.883407
273.000000	53.951994
274.000000	48.329236
275.000000	43.910621
276.000000	41.929552
277.000000	43.500912
278.000000	47.689266
279.000000	53.215974
280.000000	59.092019
281.000000	65.721482
282.000000	72.555140
283.000000	78.909536
284.000000	83.420121
285.000000	86.272830
286.000000	87.800960
287.000000	88.111778
288.000000	88.397717
289.000000	87.522760
290.000000	87.057935
291.000000	87.759830
292.000000	86.311225
293.000000	81.826499
294.000000	80.167652
295.000000	83.648688
296.000000	87.805441
297.000000	87.818170
298.000000	86.143493
299.000000	81.396854
300.000000	74.902717
301.000000	70.560947
302.000000	71.595350
303.000000	77.194930
304.000000	83.415222
305.000000	86.770799
306.000000	87.344608
307.000000	85.300405
308.000000	83.798140
309.000000	86.485811
310.000000	87.598856
311.000000	87.302685
312.000000	85.931163
313.000000	82.558238
314.000000	77.323521
315.000000	70.928953
316.000000	63.996272
317.000000	58.099496
318.000000	55.517818
319.000000	58.044515
320.000000	63.927688
321.000000	70.799764
322.000000	77.035334
323.000000	82.190671
324.000000	85.426182
325.000000	86.552178
326.000000	86.755165
327.000000	85.613612
328.000000	82.728805
329.000000	84.183634
330.000000	86.141867
331.000000	85.642830
332.000000	82.288098
333.000000	76.268695
334.000000	70.166912
335.000000	68.835232
336.000000	73.596570
337.000000	80.031702
338.000000	84.428986
339.000000	86.052470
340.000000	85.633582
341.000000	81.829421
342.000000	77.834264
343.000000	79.610508
344.000000	84.239704
345.000000	85.476672
346.000000	84.032853
347.000000	84.636406
348.000000	85.978340
349.000000	85.668155
350.000000	85.437998
351.000000	83.859854
352.000000	81.099974
353.000000	76.955293
354.000000	71.550296
355.000000	65.085214
356.000000	58.252064
357.000000	51.898376
358.000000	45.978468
359.000000	41.064834
