# This file includes the efficiency of the whole farm by wind direction.
# Wind direction angle	Farm efficiency
266.000000	88.510955
267.000000	87.033239
268.000000	84.290062
269.000000	79.875265
270.000000	73.790325
271.000000	67.175184
272.000000	60.684782
273.000000	54.845571
274.000000	49.278984
275.000000	44.907825
276.000000	42.955507
277.000000	44.502449
278.000000	48.654178
279.000000	54.129633
280.000000	59.915789
281.000000	66.374901
282.000000	72.987896
283.000000	79.078556
284.000000	83.524981
285.000000	86.379865
286.000000	87.891596
287.000000	88.335403
288.000000	88.609946
289.000000	87.342103
290.000000	86.719430
291.000000	87.935538
292.000000	86.563895
293.000000	82.351951
294.000000	80.824408
295.000000	83.955352
296.000000	87.492864
297.000000	88.037069
298.000000	86.270390
299.000000	81.765489
300.000000	75.547705
301.000000	71.409199
302.000000	72.396714
303.000000	77.723315
304.000000	83.547346
305.000000	86.986018
306.000000	87.532107
307.000000	85.262009
308.000000	84.072247
309.000000	86.422994
310.000000	87.827139
311.000000	87.521742
312.000000	86.100458
313.000000	82.772353
314.000000	77.710620
315.000000	71.454456
316.000000	64.774539
317.000000	59.040937
318.000000	56.531015
319.000000	58.987639
320.000000	64.706163
321.000000	71.325655
322.000000	77.436438
323.000000	82.405636
324.000000	85.608084
325.000000	86.796254
326.000000	87.014081
327.000000	85.595596
328.000000	83.044524
329.000000	84.195547
330.000000	86.357987
331.000000	85.865961
332.000000	82.456748
333.000000	76.798478
334.000000	71.003929
335.000000	69.734467
336.000000	74.260333
337.000000	80.437186
338.000000	84.626856
339.000000	86.337183
340.000000	85.585696
341.000000	82.198728
342.000000	78.556974
343.000000	80.201413
344.000000	84.558621
345.000000	85.731400
346.000000	84.040253
347.000000	84.629533
348.000000	86.240831
349.000000	85.993720
350.000000	85.606946
351.000000	84.073792
352.000000	81.303535
353.000000	77.200350
354.000000	71.989053
355.000000	65.740469
356.000000	59.089170
357.000000	52.832255
358.000000	46.952756
359.000000	42.080438
